3000,浦东北艾路1765弄,http://sh.58.com/zufang/24317248640442x.shtml?version=,价格3000元/月　押一付三　  租房贷
2500,惠南镇城南路168弄,http://sh.58.com/zufang/24317128784312x.shtml?version=,价格2500元/月　押一付三　  租房贷
2800,浦东东陆路898弄,http://sh.58.com/zufang/24317012374200x.shtml?version=,价格2800元/月　押一付三　  租房贷
3200,川环南路1049弄,http://sh.58.com/zufang/24316621237299x.shtml?version=,价格3200元/月　  租房贷
3500,浦东五莲路201弄、莱阳路451弄、浦东大...,http://sh.58.com/zufang/24288503978301x.shtml?version=,价格3500元/月　  租房贷
2200,--华距御庭一期,http://sh.58.com/zufang/24316482605236x.shtml?version=,价格2200元/月　  租房贷
2700,--西三里桥路9弄,http://sh.58.com/zufang/24308544336441x.shtml?version=,价格2700元/月　押一付三　  租房贷
2200,--同华大厦新金桥路最便宜的复式,http://sh.58.com/zufang/24289886044343x.shtml?version=,价格2200元/月　  租房贷
3500,浦东孙耀路111弄、孙环路177弄、孙耀路178弄,http://sh.58.com/zufang/24310133296318x.shtml?version=,价格3500元/月　  租房贷
2100,方竹路222弄,http://sh.58.com/zufang/24217983767093x.shtml?version=,价格2100元/月　押一付三　  租房贷
3500,金湘路333号,http://sh.58.com/zufang/24077529232316x.shtml?version=,价格3500元/月　押一付三　  租房贷
3500,浦东灵山路1724弄、德平路1134弄、灵...,http://sh.58.com/zufang/24315795039287x.shtml?version=,价格3500元/月　押一付三　  租房贷
3000,嘉定浏翔公路1111弄、浏翔公路999弄,http://sh.58.com/zufang/24154588640826x.shtml?version=,价格3000元/月　  租房贷
3200,龚华路35弄16号15楼,http://sh.58.com/zufang/24315478294709x.shtml?version=,价格3200元/月　押一付三　  租房贷
3500,张江镇孙耀路111弄,http://sh.58.com/zufang/23855140887350x.shtml?version=,价格3500元/月　  租房贷
2700,海松路359弄海松路398弄海松路421弄,http://sh.58.com/zufang/24306811063091x.shtml?version=,价格2700元/月　押一付三　  租房贷
2600,--金海华城-永华苑,http://sh.58.com/zufang/24175919535545x.shtml?version=,价格2600元/月　  租房贷
2500,永华苑35弄8号楼503,http://sh.58.com/zufang/24306618708023x.shtml?version=,价格2500元/月　押一付三　  租房贷
2600,浦东张东路2281弄,http://sh.58.com/zufang/24306615044917x.shtml?version=,价格2600元/月　押一付二　  租房贷
3300,浦东年家浜东路129弄,http://sh.58.com/zufang/24065994964792x.shtml?version=,价格3300元/月　  租房贷
3100,航昌路199弄,http://sh.58.com/zufang/24304748559925x.shtml?version=,价格3100元/月　押一付三　  租房贷
3200,龚华路35弄16号,http://sh.58.com/zufang/24304578066228x.shtml?version=,价格3200元/月　押一付三　  租房贷
2800,龚华路425弄,http://sh.58.com/zufang/24300563911859x.shtml?version=,价格2800元/月　押一付三　  租房贷
3500,康沈路1365弄,http://sh.58.com/zufang/24056715066163x.shtml?version=,价格3500元/月　押二付一　  租房贷
2200,银峰路549弄,http://sh.58.com/zufang/24298519492410x.shtml?version=,价格2200元/月　押一付三　  租房贷
2200,--曹路银丰苑,http://sh.58.com/zufang/24021199810355x.shtml?version=,价格2200元/月　  租房贷
3000,--鹤沙航城地铁站汇善嘉苑,http://sh.58.com/zufang/24288434080317x.shtml?version=,价格3000元/月　  租房贷
3200,双桥路180弄,http://sh.58.com/zufang/24233393201971x.shtml?version=,价格3200元/月　押一付三　  租房贷
